PAC_Name,PAC_Type,PAC_ID,PAC_Website,Candidate,First_Name,Last_Name,Total,For,Against,Full_Name,Full_Name_Abbr,Office,Office_Full,State,District,Party
LCV VICTORY FUND,Super PAC,C00486845,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486845,"Biden, Joe", Joe,Biden,"$6,500,892","$6,500,892",$0,JoeBiden,,President,President,Federal,,D
LCV VICTORY FUND,Super PAC,C00486846,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486846,"Boebert, Lauren", Lauren,Boebert,"$508,673",$0,"$508,673",LaurenBoebert,,House,U.S. House,CO,3,R
LCV VICTORY FUND,Super PAC,C00486847,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486847,"Bullock, Steve", Steve,Bullock,"$926,022","$926,022",$0,SteveBullock,,Senate,U.S. Senate,MT,,D
LCV VICTORY FUND,Super PAC,C00486848,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486848,"Cisneros, Jessica", Jessica,Cisneros,$45,$45,$0,JessicaCisneros,,House,U.S. House,TX,28,D
LCV VICTORY FUND,Super PAC,C00486849,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486849,"Collins, Susan M", Susan M,Collins,"$885,261",$0,"$885,261",Susan MCollins,,Senate,U.S. Senate,ME,,R
LCV VICTORY FUND,Super PAC,C00486850,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486850,"Cunningham, Cal", Cal,Cunningham,"$499,726","$499,726",$0,CalCunningham,,Senate,U.S. Senate,NC,,D
LCV VICTORY FUND,Super PAC,C00486851,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486851,"Cunningham, Joe", Joe,Cunningham,"$36,601","$36,601",$0,JoeCunningham,,House,U.S. House,SC,1,D
LCV VICTORY FUND,Super PAC,C00486852,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486852,"Daines, Steven", Steven,Daines,"$2,995,816",$0,"$2,995,816",StevenDaines,,Senate,U.S. Senate,MT,,R
LCV VICTORY FUND,Super PAC,C00486853,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486853,"Ernst, Joni", Joni,Ernst,"$2,696,351",$0,"$2,696,351",JoniErnst,,Senate,U.S. Senate,IA,,R
LCV VICTORY FUND,Super PAC,C00486854,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486854,"Freitas, Nick", Nick,Freitas,"$288,395",$0,"$288,395",NickFreitas,,House,U.S. House,VA,7,R
LCV VICTORY FUND,Super PAC,C00486855,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486855,"Garbarino, Andrew", Andrew,Garbarino,"$103,503",$0,"$103,503",AndrewGarbarino,,House,U.S. House,NY,2,R
LCV VICTORY FUND,Super PAC,C00486856,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486856,"Gardner, Cory", Cory,Gardner,$111,$0,$111,CoryGardner,,Senate,U.S. Senate,CO,,R
LCV VICTORY FUND,Super PAC,C00486857,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486857,"Gideon, Sara", Sara,Gideon,"$458,247","$458,247",$0,SaraGideon,,Senate,U.S. Senate,ME,,D
LCV VICTORY FUND,Super PAC,C00486858,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486858,"Gimenez, Carlos", Carlos,Gimenez,"$757,401",$0,"$757,401",CarlosGimenez,,House,U.S. House,FL,26,R
LCV VICTORY FUND,Super PAC,C00486859,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486859,"Gonzales, Tony", Tony,Gonzales,"$163,181",$0,"$163,181",TonyGonzales,,House,U.S. House,TX,23,R
LCV VICTORY FUND,Super PAC,C00486860,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486860,"Gordon, Jacqueline", Jacqueline,Gordon,$9,$9,$0,JacquelineGordon,,House,U.S. House,NY,2,D
LCV VICTORY FUND,Super PAC,C00486861,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486861,"Graham, Lindsey", Lindsey,Graham,"$995,757",$0,"$995,757",LindseyGraham,,Senate,U.S. Senate,SC,,R
LCV VICTORY FUND,Super PAC,C00486862,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486862,"Greenfield, Theresa", Theresa,Greenfield,"$1,599,185","$1,599,185",$0,TheresaGreenfield,,Senate,U.S. Senate,IA,,D
LCV VICTORY FUND,Super PAC,C00486863,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486863,"Gross, Al", Al,Gross,"$50,000","$50,000",$0,AlGross,,Senate,U.S. Senate,AK,,I
LCV VICTORY FUND,Super PAC,C00486864,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486864,"Harrison, Jaime", Jaime,Harrison,"$513,538","$513,538",$0,JaimeHarrison,,Senate,U.S. Senate,SC,,D
LCV VICTORY FUND,Super PAC,C00486865,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486865,"Herrell, Yvette", Yvette,Herrell,"$338,943",$0,"$338,943",YvetteHerrell,,House,U.S. House,NM,2,R
LCV VICTORY FUND,Super PAC,C00486866,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486866,"Hudson, Richard", Richard,Hudson,"$318,333",$0,"$318,333",RichardHudson,,House,U.S. House,NC,8,R
LCV VICTORY FUND,Super PAC,C00486867,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486867,"James, John", John,James,"$344,296",$0,"$344,296",JohnJames,,Senate,U.S. Senate,MI,,R
LCV VICTORY FUND,Super PAC,C00486868,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486868,"Jones, Gina Ortiz", Gina Ortiz,Jones,$9,$9,$0,Gina OrtizJones,,House,U.S. House,TX,23,D
LCV VICTORY FUND,Super PAC,C00486869,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486869,"Junge, Paul", Paul,Junge,"$314,246",$0,"$314,246",PaulJunge,,House,U.S. House,MI,8,R
LCV VICTORY FUND,Super PAC,C00486870,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486870,"Kelly, Mark", Mark,Kelly,"$209,997","$209,997",$0,MarkKelly,,Senate,U.S. Senate,AZ,,D
LCV VICTORY FUND,Super PAC,C00486871,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486871,"Mace, Nancy", Nancy,Mace,"$379,017",$0,"$379,017",NancyMace,,House,U.S. House,SC,1,R
LCV VICTORY FUND,Super PAC,C00486872,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486872,"McConnell, Mitch", Mitch,McConnell,$877,$0,$877,MitchMcConnell,,Senate,U.S. Senate,KY,,R
LCV VICTORY FUND,Super PAC,C00486873,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486873,"McCready, Dan", Dan,McCready,"$263,234","$263,234",$0,DanMcCready,,House,U.S. House,NC,9,D
LCV VICTORY FUND,Super PAC,C00486874,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486874,"McSally, Martha", Martha,McSally,"$1,504,757",$0,"$1,504,757",MarthaMcSally,,Senate,U.S. Senate,AZ,,R
LCV VICTORY FUND,Super PAC,C00486875,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486875,"Mucarsel-Powell, Debbie", Debbie,Mucarsel-Powell,$9,$9,$0,DebbieMucarsel-Powell,,House,U.S. House,FL,26,D
LCV VICTORY FUND,Super PAC,C00486876,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486876,"Peters, Gary", Gary,Peters,"$582,271","$582,271",$0,GaryPeters,,Senate,U.S. Senate,MI,,D
LCV VICTORY FUND,Super PAC,C00486877,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486877,"Richter, David", David,Richter,"$262,835",$0,"$262,835",DavidRichter,,House,U.S. House,NJ,3,R
LCV VICTORY FUND,Super PAC,C00486878,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486878,"Rosendale, Matt", Matt,Rosendale,"$266,173",$0,"$266,173",MattRosendale,,House,U.S. House,MT,At-Large,R
LCV VICTORY FUND,Super PAC,C00486879,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486879,"Sullivan, Dan", Dan,Sullivan,"$804,011",$0,"$804,011",DanSullivan,,Senate,U.S. Senate,AK,,R
LCV VICTORY FUND,Super PAC,C00486880,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486880,"Tenney, Claudia", Claudia,Tenney,"$497,811",$0,"$497,811",ClaudiaTenney,,House,U.S. House,NY,22,R
LCV VICTORY FUND,Super PAC,C00486881,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486881,"Tillis, Thom", Thom,Tillis,"$505,338",$0,"$505,338",ThomTillis,,Senate,U.S. Senate,NC,,R
LCV VICTORY FUND,Super PAC,C00486882,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486882,"Timmons-Goodson, Patricia", Patricia,Timmons-Goodson,$9,$9,$0,PatriciaTimmons-Goodson,,House,U.S. House,NC,8,D
LCV VICTORY FUND,Super PAC,C00486883,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486883,"Trump, Donald", Donald,Trump,"$9,863,274",$0,"$9,863,274",DonaldTrump,,President,President,Federal,,R
LCV VICTORY FUND,Super PAC,C00486884,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486884,"Van Duyne, Beth", Beth,Van Duyne,"$516,381",$0,"$516,381",BethVan Duyne,,House,U.S. House,TX,24,R
SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483693,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483693,"Ackerman, Patricia", Patricia,Ackerman,$10,$10,$0,PatriciaAckerman,,House,U.S. House,NV,2,D
SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483694,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483694,"Adams, Alma", Alma,Adams,$10,$10,$0,AlmaAdams,,House,U.S. House,NC,12,D
SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483695,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483695,"Aguilar, Pete", Pete,Aguilar,$10,$10,$0,PeteAguilar,,House,U.S. House,CA,31,D
SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483696,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483696,"Allred, Colin", Colin,Allred,$10,$10,$0,ColinAllred,,House,U.S. House,TX,32,D
