ID,Jurisdiction,State,District_Type,District_Number,Candidate_Name,Party,Total_Amount,Total_For,Total_Against,PAC_Name,PAC_Type,PAC_ID,ID_Type,Citation_URL
LCV VICTORY FUND_6500892,Federal Office,All,President,,Joe Biden,D,6500892,6500892,0,LCV VICTORY FUND,Super PAC,C00486845,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486845
LCV VICTORY FUND_0,Federal Office,CO,U.S. House,3,Lauren Boebert,R,508673,0,508673,LCV VICTORY FUND,Super PAC,C00486846,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486846
LCV VICTORY FUND_926022,Federal Office,MT,U.S. Senate,,Steve Bullock,D,926022,926022,0,LCV VICTORY FUND,Super PAC,C00486847,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486847
LCV VICTORY FUND_45,Federal Office,TX,U.S. House,28,Jessica Cisneros,D,45,45,0,LCV VICTORY FUND,Super PAC,C00486848,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486848
LCV VICTORY FUND_0,Federal Office,ME,U.S. Senate,,Susan M Collins,R,885261,0,885261,LCV VICTORY FUND,Super PAC,C00486849,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486849
LCV VICTORY FUND_499726,Federal Office,NC,U.S. Senate,,Cal Cunningham,D,499726,499726,0,LCV VICTORY FUND,Super PAC,C00486850,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486850
LCV VICTORY FUND_36601,Federal Office,SC,U.S. House,1,Joe Cunningham,D,36601,36601,0,LCV VICTORY FUND,Super PAC,C00486851,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486851
LCV VICTORY FUND_0,Federal Office,MT,U.S. Senate,,Steven Daines,R,2995816,0,2995816,LCV VICTORY FUND,Super PAC,C00486852,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486852
LCV VICTORY FUND_0,Federal Office,IA,U.S. Senate,,Joni Ernst,R,2696351,0,2696351,LCV VICTORY FUND,Super PAC,C00486853,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486853
LCV VICTORY FUND_0,Federal Office,VA,U.S. House,7,Nick Freitas,R,288395,0,288395,LCV VICTORY FUND,Super PAC,C00486854,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486854
LCV VICTORY FUND_0,Federal Office,NY,U.S. House,2,Andrew Garbarino,R,103503,0,103503,LCV VICTORY FUND,Super PAC,C00486855,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486855
LCV VICTORY FUND_0,Federal Office,CO,U.S. Senate,,Cory Gardner,R,111,0,111,LCV VICTORY FUND,Super PAC,C00486856,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486856
LCV VICTORY FUND_458247,Federal Office,ME,U.S. Senate,,Sara Gideon,D,458247,458247,0,LCV VICTORY FUND,Super PAC,C00486857,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486857
LCV VICTORY FUND_0,Federal Office,FL,U.S. House,26,Carlos Gimenez,R,757401,0,757401,LCV VICTORY FUND,Super PAC,C00486858,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486858
LCV VICTORY FUND_0,Federal Office,TX,U.S. House,23,Tony Gonzales,R,163181,0,163181,LCV VICTORY FUND,Super PAC,C00486859,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486859
LCV VICTORY FUND_9,Federal Office,NY,U.S. House,2,Jacqueline Gordon,D,9,9,0,LCV VICTORY FUND,Super PAC,C00486860,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486860
LCV VICTORY FUND_0,Federal Office,SC,U.S. Senate,,Lindsey Graham,R,995757,0,995757,LCV VICTORY FUND,Super PAC,C00486861,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486861
LCV VICTORY FUND_1599185,Federal Office,IA,U.S. Senate,,Theresa Greenfield,D,1599185,1599185,0,LCV VICTORY FUND,Super PAC,C00486862,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486862
LCV VICTORY FUND_50000,Federal Office,AK,U.S. Senate,,Al Gross,I,50000,50000,0,LCV VICTORY FUND,Super PAC,C00486863,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486863
LCV VICTORY FUND_513538,Federal Office,SC,U.S. Senate,,Jaime Harrison,D,513538,513538,0,LCV VICTORY FUND,Super PAC,C00486864,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486864
LCV VICTORY FUND_0,Federal Office,NM,U.S. House,2,Yvette Herrell,R,338943,0,338943,LCV VICTORY FUND,Super PAC,C00486865,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486865
LCV VICTORY FUND_0,Federal Office,NC,U.S. House,8,Richard Hudson,R,318333,0,318333,LCV VICTORY FUND,Super PAC,C00486866,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486866
LCV VICTORY FUND_0,Federal Office,MI,U.S. Senate,,John James,R,344296,0,344296,LCV VICTORY FUND,Super PAC,C00486867,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486867
LCV VICTORY FUND_9,Federal Office,TX,U.S. House,23,Gina Ortiz Jones,D,9,9,0,LCV VICTORY FUND,Super PAC,C00486868,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486868
LCV VICTORY FUND_0,Federal Office,MI,U.S. House,8,Paul Junge,R,314246,0,314246,LCV VICTORY FUND,Super PAC,C00486869,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486869
LCV VICTORY FUND_209997,Federal Office,AZ,U.S. Senate,,Mark Kelly,D,209997,209997,0,LCV VICTORY FUND,Super PAC,C00486870,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486870
LCV VICTORY FUND_0,Federal Office,SC,U.S. House,1,Nancy Mace,R,379017,0,379017,LCV VICTORY FUND,Super PAC,C00486871,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486871
LCV VICTORY FUND_0,Federal Office,KY,U.S. Senate,,Mitch McConnell,R,877,0,877,LCV VICTORY FUND,Super PAC,C00486872,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486872
LCV VICTORY FUND_263234,Federal Office,NC,U.S. House,9,Dan McCready,D,263234,263234,0,LCV VICTORY FUND,Super PAC,C00486873,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486873
LCV VICTORY FUND_0,Federal Office,AZ,U.S. Senate,,Martha McSally,R,1504757,0,1504757,LCV VICTORY FUND,Super PAC,C00486874,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486874
LCV VICTORY FUND_9,Federal Office,FL,U.S. House,26,Debbie Mucarsel-Powell,D,9,9,0,LCV VICTORY FUND,Super PAC,C00486875,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486875
LCV VICTORY FUND_582271,Federal Office,MI,U.S. Senate,,Gary Peters,D,582271,582271,0,LCV VICTORY FUND,Super PAC,C00486876,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486876
LCV VICTORY FUND_0,Federal Office,NJ,U.S. House,3,David Richter,R,262835,0,262835,LCV VICTORY FUND,Super PAC,C00486877,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486877
LCV VICTORY FUND_0,Federal Office,MT,U.S. House,At-Large,Matt Rosendale,R,266173,0,266173,LCV VICTORY FUND,Super PAC,C00486878,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486878
LCV VICTORY FUND_0,Federal Office,AK,U.S. Senate,,Dan Sullivan,R,804011,0,804011,LCV VICTORY FUND,Super PAC,C00486879,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486879
LCV VICTORY FUND_0,Federal Office,NY,U.S. House,22,Claudia Tenney,R,497811,0,497811,LCV VICTORY FUND,Super PAC,C00486880,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486880
LCV VICTORY FUND_0,Federal Office,NC,U.S. Senate,,Thom Tillis,R,505338,0,505338,LCV VICTORY FUND,Super PAC,C00486881,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486881
LCV VICTORY FUND_9,Federal Office,NC,U.S. House,8,Patricia Timmons-Goodson,D,9,9,0,LCV VICTORY FUND,Super PAC,C00486882,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486882
LCV VICTORY FUND_0,Federal Office,All,President,,Donald Trump,R,9863274,0,9863274,LCV VICTORY FUND,Super PAC,C00486883,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486883
LCV VICTORY FUND_0,Federal Office,TX,U.S. House,24,Beth Van Duyne,R,516381,0,516381,LCV VICTORY FUND,Super PAC,C00486884,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486884
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NV,U.S. House,2,Patricia Ackerman,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483693,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483693
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NC,U.S. House,12,Alma Adams,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483694,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483694
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,31,Pete Aguilar,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483695,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483695
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,TX,U.S. House,32,Colin Allred,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483696,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483696
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,IA,U.S. House,3,Cindy Axne,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483697,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483697
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,44,Nanette Barragan,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483698,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483698
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,37,Karen Bass,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483699,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483699
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,OH,U.S. House,3,Joyce Beatty,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483700,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483700
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,7,Ami Bera,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483701,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483701
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,VA,U.S. House,8,Don Beyer,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483702,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483702
SIERRA CLUB INDEPENDENT ACTION_1805764,Federal Office,All,President,,Joe Biden,D,1805764,1805764,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483703,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483703
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,OR,U.S. House,3,Earl Blumenauer,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483704,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483704
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,KS,U.S. Senate,,Barbara Bollier,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483705,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483705
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NE,U.S. House,1,Kate Bolz,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483706,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483706
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,OR,U.S. House,1,Suzanne Bonamici,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483707,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483707
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NJ,U.S. Senate,,Cory Booker,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483708,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483708
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,PA,U.S. House,2,Brendan Boyle,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483709,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483709
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NY,U.S. House,22,Anthony Brindisi,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483710,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483710
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,MD,U.S. House,4,Anthony Brown,D,10,10,0,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483711,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483711
