ID,Jurisdiction,State,District_Type,District_Number,Candidate_Name,Party,Total_Amount,Total_For,Total_Against,PAC_Name,PAC_Type,PAC_ID,ID_Type,Citation_URL
Wisconsin Conservation Voters Independent Expenditure Committee_382390.1,State Office,WI,,,[IE] Wavelength Strategy Inc,,382390.1,382390.1,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/wavelength-strategy-inc
Wisconsin Conservation Voters Independent Expenditure Committee_338539.36,State Office,WI,,,[IE] The Pivot Group Inc,,338539.36,338539.36,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/the-pivot-group-inc
Wisconsin Conservation Voters Independent Expenditure Committee_30794,State Office,WI,,,[IE] Strother Nuckels Strategies,,30794,30794,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/strother-nuckels-strategies
Wisconsin Conservation Voters Independent Expenditure Committee_3653,State Office,WI,,,[IE] Hub International,,3653,3653,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/638748
Wisconsin Conservation Voters Independent Expenditure Committee_3580.05,State Office,WI,,,[IE] Facebook Inc,,3580.05,3580.05,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/facebook-inc
Wisconsin Conservation Voters Independent Expenditure Committee_2112.91,State Office,WI,,,[IE] Budget Signs and Specialties,,2112.91,2112.91,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/budget-signs-and-specialties
Wisconsin Conservation Voters Independent Expenditure Committee_2000,State Office,WI,,,[IE] Wavelength Strategy Inc,,2000,2000,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/706088
Wisconsin Conservation Voters Independent Expenditure Committee_1000,State Office,WI,,,[IE] Fresh Address,,1000,1000,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/612111
Wisconsin Conservation Voters Independent Expenditure Committee_866.25,State Office,WI,,,[IE] Beaton Kate,,866.25,866.25,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/531845
Wisconsin Conservation Voters Independent Expenditure Committee_556.05,State Office,WI,,,[IE] Zimmer Lindsay,,556.05,556.05,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/706176
Wisconsin Conservation Voters Independent Expenditure Committee_544.5,State Office,WI,,,[IE] Hartung Mary Kate,,544.5,544.5,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/638718
Wisconsin Conservation Voters Independent Expenditure Committee_500,State Office,WI,,,[IE] Gemma Ryan,,500,500,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/621792
Wisconsin Conservation Voters Independent Expenditure Committee_444.99,State Office,WI,,,[IE] Associated Bank,,444.99,444.99,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/associated-bank
Wisconsin Conservation Voters Independent Expenditure Committee_418,State Office,WI,,,[IE] Hicks Casey,,418,418,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/638734
Wisconsin Conservation Voters Independent Expenditure Committee_360.25,State Office,WI,,,[IE] Hones Ariana,,360.25,360.25,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/638743
Wisconsin Conservation Voters Independent Expenditure Committee_200,State Office,WI,,,[IE] Wisconsin Ethics Commission,,200,200,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/pac/wisconsin-ethics-commission-9999999-ethics_commission
Wisconsin Conservation Voters Independent Expenditure Committee_95.59,State Office,WI,,,[IE] Paya,,95.59,95.59,,Wisconsin Conservation Voters Independent Expenditure Committee,,,,https://www.transparencyusa.org/wi/payee/200844
WI League/conservation Voters PAC_500,State Office,WI,Wisconsin State Senate,32,Brad Pfaff,D,500,500,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/brad-pfaff
WI League/conservation Voters PAC_500,State Office,WI,Wisconsin State Senate,6,La Tonya Johnson,D,500,500,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/la-tonya-johnson
WI League/conservation Voters PAC_366.73,State Office,WI,,,[IE] Paya,,366.73,366.73,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/payee/200844
WI League/conservation Voters PAC_350,State Office,WI,,,[IE] Dana Chabot CPA,,350,350,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/payee/197953
WI League/conservation Voters PAC_250,State Office,WI,Wisconsin State Assembly,74,Beth Meyers,D,250,250,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/beth-meyers
WI League/conservation Voters PAC_250,State Office,WI,Wisconsin State Assembly,23,Deb Andraca,D,250,250,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/deb-andraca
WI League/conservation Voters PAC_250,State Office,WI,Wisconsin State Assembly,66,Greta Neubauer,D,250,250,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/greta-neubauer
WI League/conservation Voters PAC_250,State Office,WI,Wisconsin State Assembly,95,Jill Billings,D,250,250,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/jill-billings
WI League/conservation Voters PAC_250,State Office,WI,Wisconsin State Assembly,91,Jodi Emerson,D,250,250,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/jodi-emerson
WI League/conservation Voters PAC_250,State Office,WI,Wisconsin State Assembly,45,Mark Spreitzer,D,250,250,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/mark-spreitzer
WI League/conservation Voters PAC_250,State Office,WI,Wisconsin State Assembly,73,Nick Milroy,D,250,250,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/nick-milroy
WI League/conservation Voters PAC_250,State Office,WI,Wisconsin State Assembly,14,Robyn Vining,D,250,250,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/robyn-vining
WI League/conservation Voters PAC_250,State Office,WI,Wisconsin State Assembly,94,Steve Doyle,D,250,250,,WI League/conservation Voters PAC,,,,https://www.transparencyusa.org/wi/candidate/steve-doyle
Climate Vote Minnesota_39308.91,State Office,MN,,,[IE] Cmvc Fund (Conservation MN Voter Center),,39308.91,39308.91,,Climate Vote Minnesota,,,,https://www.transparencyusa.org/mn/pac/cmvc-fund-conservation-mn-voter-center-30647-pcf
Climate Vote Minnesota_7632.88,State Office,MN,,,[IE] Facebook Inc,,7632.88,7632.88,,Climate Vote Minnesota,,,,https://www.transparencyusa.org/mn/payee/facebook-inc
Climate Vote Minnesota_1877.66,State Office,MN,,,[IE] Paragon Payment Solutions,,1877.66,1877.66,,Climate Vote Minnesota,,,,https://www.transparencyusa.org/mn/payee/19554
Sierra Club Political Committee_15457.53,State Office,MN,,,[IE] Sierra Club - National,,15457.53,15457.53,,Sierra Club Political Committee,,,,https://www.transparencyusa.org/mn/payee/sierra-club-national
Sierra Club Political Committee_2777.42,State Office,MN,,,[IE] Sierra Club - North Star Chapter G,,2777.42,2777.42,,Sierra Club Political Committee,,,,https://www.transparencyusa.org/mn/payee/20100
Sierra Club Political Committee_1252.5,State Office,MN,,,[IE] Lathrop GPM,,1252.5,1252.5,,Sierra Club Political Committee,,,,https://www.transparencyusa.org/mn/payee/lathrop-gpm
Sierra Club Political Committee_600,State Office,MN,Minnesota State Senate,26,Aleta Borrud,D,600,600,,Sierra Club Political Committee,,,,https://www.transparencyusa.org/mn/candidate/aleta-alyce-borrud-pcc
Sierra Club Political Committee_600,State Office,MN,Minnesota State Senate,25,Sara Flick,D,600,600,,Sierra Club Political Committee,,,,https://www.transparencyusa.org/mn/payee/67856
Sierra Club Political Committee_600,State Office,MN,Minnesota State Senate,20,Jon Olson,D,600,600,,Sierra Club Political Committee,,,,https://www.transparencyusa.org/mn/candidate/jon-olson-pcc
Sierra Club Political Committee_600,State Office,MN,Minnesota State Senate,39,Josiah Hill,D,600,600,,Sierra Club Political Committee,,,,https://www.transparencyusa.org/mn/candidate/josiah-hill-pcc
